date_name,local_team_id,local_team,local_result,visitor_result,visitor_team,visitor_team_id
Campeonato 1931,13,Atlanta,1,1,Velez,94
Campeonato 1931,73,Racing Club,1,1,Quilmes,71
Campeonato 1931,71,Quilmes,2,0,Racing Club,73
Campeonato 1931,48,Huracan,2,4,Racing Club,73
Campeonato 1931,17,Boca Juniors,5,2,Atlanta,13
Campeonato 1931,56,Independiente,1,4,Racing Club,73
Campeonato 1931,73,Racing Club,7,4,Independiente,56
Campeonato 1931,13,Atlanta,1,3,Boca Juniors,17
Campeonato 1931,89,Talleres (RdE),2,4,Huracan,48
Campeonato 1931,13,Atlanta,1,2,San Lorenzo,77
Campeonato 1931,37,Estudiantes (LP),8,0,Lanus,63
Campeonato 1931,77,San Lorenzo,5,3,Atlanta,13
Campeonato 1931,40,Ferro,1,2,Boca Juniors,17
Campeonato 1931,17,Boca Juniors,3,3,Ferro,40
Campeonato 1931,48,Huracan,0,1,Argentinos,7
Campeonato 1931,71,Quilmes,1,2,Boca Juniors,17
Campeonato 1931,17,Boca Juniors,5,1,Quilmes,71
Campeonato 1931,63,Lanus,2,3,Estudiantes (LP),37
Campeonato 1931,17,Boca Juniors,4,2,Talleres (RdE),89
Campeonato 1931,63,Lanus,1,0,Talleres (RdE),89
Campeonato 1931,73,Racing Club,1,0,Huracan,48
Campeonato 1931,89,Talleres (RdE),1,2,Atlanta,13
Campeonato 1931,73,Racing Club,4,1,Gimnasia (LP),43
Campeonato 1931,94,Velez,2,3,River Plate,75
Campeonato 1931,75,River Plate,5,1,Velez,94
Campeonato 1931,43,Gimnasia (LP),1,1,Racing Club,73
Campeonato 1931,21,Chacarita,4,3,Ferro,40
Campeonato 1931,13,Atlanta,1,0,Racing Club,73
Campeonato 1931,89,Talleres (RdE),3,2,Lanus,63
Campeonato 1931,75,River Plate,1,2,Quilmes,71
Campeonato 1931,40,Ferro,0,0,Chacarita,21
Campeonato 1931,89,Talleres (RdE),3,1,San Lorenzo,77
Campeonato 1931,56,Independiente,5,3,San Lorenzo,77
Campeonato 1931,48,Huracan,4,1,Talleres (RdE),89
Campeonato 1931,77,San Lorenzo,1,1,Independiente,56
Campeonato 1931,77,San Lorenzo,0,4,Talleres (RdE),89
Campeonato 1931,94,Velez,6,1,Atlanta,13
Campeonato 1931,13,Atlanta,0,1,River Plate,75
Campeonato 1931,17,Boca Juniors,2,1,Huracan,48
Campeonato 1931,48,Huracan,1,2,Boca Juniors,17
Campeonato 1931,21,Chacarita,0,0,Platense,70
Campeonato 1931,7,Argentinos,4,4,Quilmes,71
Campeonato 1931,89,Talleres (RdE),4,4,Estudiantes (LP),37
Campeonato 1931,37,Estudiantes (LP),3,0,Talleres (RdE),89
Campeonato 1931,71,Quilmes,0,1,Argentinos,7
Campeonato 1931,70,Platense,1,0,Velez,94
Campeonato 1931,94,Velez,2,1,Platense,70
Campeonato 1931,40,Ferro,2,5,Estudiantes (LP),37
Campeonato 1931,77,San Lorenzo,3,0,Velez,94
Campeonato 1931,37,Estudiantes (LP),8,0,Ferro,40
Campeonato 1931,70,Platense,0,2,San Lorenzo,77
Campeonato 1931,63,Lanus,2,1,Quilmes,71
Campeonato 1931,71,Quilmes,4,1,Lanus,63
Campeonato 1931,40,Ferro,1,0,Quilmes,71
Campeonato 1931,43,Gimnasia (LP),3,4,Velez,94
Campeonato 1931,94,Velez,1,1,Gimnasia (LP),43
Campeonato 1931,73,Racing Club,5,1,Platense,70
Campeonato 1931,7,Argentinos,4,2,Velez,94
Campeonato 1931,94,Velez,4,3,San Lorenzo,77
Campeonato 1931,70,Platense,1,2,Lanus,63
Campeonato 1931,63,Lanus,1,1,Platense,70
Campeonato 1931,70,Platense,0,1,Chacarita,21
Campeonato 1931,7,Argentinos,1,1,Huracan,48
Campeonato 1931,17,Boca Juniors,3,2,Tigre,91
Campeonato 1931,89,Talleres (RdE),0,2,Boca Juniors,17
Campeonato 1931,37,Estudiantes (LP),5,1,Argentinos,7
Campeonato 1931,7,Argentinos,1,0,Estudiantes (LP),37
Campeonato 1931,73,Racing Club,4,1,Atlanta,13
Campeonato 1931,71,Quilmes,2,1,Ferro,40
Campeonato 1931,91,Tigre,1,2,Gimnasia (LP),43
Campeonato 1931,43,Gimnasia (LP),3,0,Tigre,91
Campeonato 1931,91,Tigre,2,2,Boca Juniors,17
Campeonato 1931,71,Quilmes,0,4,Huracan,48
Campeonato 1931,48,Huracan,3,1,Quilmes,71
Campeonato 1931,48,Huracan,3,1,Tigre,91
Campeonato 1931,91,Tigre,2,0,Huracan,48
Campeonato 1931,48,Huracan,1,0,Platense,70
Campeonato 1931,70,Platense,3,1,Huracan,48
Campeonato 1931,77,San Lorenzo,3,0,Huracan,48
Campeonato 1931,48,Huracan,1,1,San Lorenzo,77
Campeonato 1931,73,Racing Club,3,1,Argentinos,7
Campeonato 1931,7,Argentinos,4,3,Racing Club,73
Campeonato 1931,71,Quilmes,1,0,River Plate,75
Campeonato 1931,94,Velez,1,1,Ferro,40
Campeonato 1931,40,Ferro,2,2,Velez,94
Campeonato 1931,40,Ferro,2,0,Argentinos,7
Campeonato 1931,70,Platense,3,0,Quilmes,71
Campeonato 1931,71,Quilmes,1,1,Platense,70
Campeonato 1931,37,Estudiantes (LP),3,0,Tigre,91
Campeonato 1931,77,San Lorenzo,4,2,Tigre,91
Campeonato 1931,7,Argentinos,3,1,Ferro,40
Campeonato 1931,13,Atlanta,1,5,Chacarita,21
Campeonato 1931,43,Gimnasia (LP),2,0,Talleres (RdE),89
